school_name,year,first_down,first_down_pass,first_down_penalty,first_down_rush,fumbles_lost,pass_att,pass_cmp,pass_cmp_pct,pass_int,pass_td,pass_yds,penalty,penalty_yds,points,rush_att,rush_td,rush_yds,rush_yds_per_att,tot_plays,tot_yds,tot_yds_per_play,turnovers,opp_first_down,opp_first_down_pass,opp_first_down_penalty,opp_first_down_rush,opp_fumbles_lost,opp_pass_att,opp_pass_cmp,opp_pass_cmp_pct,opp_pass_int,opp_pass_td,opp_pass_yds,opp_penalty,opp_penalty_yds,opp_points,opp_rush_att,opp_rush_td,opp_rush_yds,opp_rush_yds_per_att,opp_tot_plays,opp_tot_yds,opp_tot_yds_per_play,opp_turnovers,fg_pct,fga,fgm,kick_points,kick_ret,kick_ret_td,kick_ret_yds,kick_ret_yds_per_ret,punt,punt_ret,punt_ret_td,punt_ret_yds,punt_ret_yds_per_ret,punt_yds,punt_yds_per_punt,xp_pct,xpa,xpm,Unnamed: 0,conf_abbr,losses,losses_conf,notes,opp_points_per_g,points_per_g,rank_final,rank_min,rank_pre,sos,srs,win_loss_pct,win_loss_pct_conf,wins,wins_conf
Purdue,2000,25.8,15.5,1.6,8.7,0.6,44.5,26.5,59.7,1.1,2.4,312.5,5.5,43.4,32.5,37.7,1.8,158.6,4.2,82.2,471.2,5.7,1.7,17.9,8.5,1.0,8.4,0.8,29.7,17.8,59.9,0.9,1.2,201.4,6.6,51.5,21.1,36.6,1.2,139.1,3.8,66.4,340.5,5.1,1.7,73.3,1.4,1.0,6.8,3.4,0.0,69.7,20.7,3.7,2.1,0.0,19.0,9.1,143.5,38.5,95.5,4.0,3.8,31.0,Big Ten,4.0,2.0,,22.2,31.8,13.0,9.0,14.0,2.93,9.26,0.667,0.75,8.0,6.0
UTEP,2000,22.0,10.5,3.0,8.5,1.2,32.2,18.8,58.5,0.6,2.4,248.2,7.6,61.8,32.3,43.0,1.7,159.3,3.7,75.2,407.5,5.4,1.8,19.2,9.5,2.0,7.6,0.9,34.4,15.8,46.0,1.3,1.3,218.0,10.0,84.1,27.1,33.5,2.2,153.8,4.6,67.8,371.8,5.5,2.2,72.2,1.6,1.2,7.2,3.1,0.0,49.0,15.9,5.3,2.9,0.0,17.8,6.1,208.6,39.6,93.0,3.9,3.6,108.0,WAC,4.0,1.0,,28.0,31.5,,,,-1.49,3.1,0.667,0.875,8.0,7.0
Washington,2000,21.9,8.6,2.3,11.0,1.5,29.5,15.5,52.6,1.0,1.3,196.2,7.5,65.0,32.1,44.3,2.8,211.7,4.8,73.8,407.9,5.5,2.5,18.0,8.5,1.6,7.9,1.6,31.5,14.9,47.4,0.5,1.2,207.9,9.0,71.8,22.4,37.0,1.4,141.5,3.8,68.5,349.5,5.1,2.2,70.6,1.5,1.1,6.8,3.4,0.0,71.2,21.2,5.1,2.8,0.0,20.6,7.3,190.7,37.5,90.7,3.9,3.5,86.0,Pac-10,1.0,1.0,,22.5,32.3,3.0,3.0,13.0,7.57,16.91,0.917,0.875,11.0,7.0
Middle Tennessee State,2000,22.0,10.6,2.0,9.4,0.9,33.3,19.8,59.6,1.0,1.3,239.2,7.2,65.5,31.8,36.7,2.7,194.4,5.3,70.0,433.5,6.2,1.9,21.7,10.5,1.6,9.6,0.9,36.1,22.4,62.0,1.0,1.7,236.5,8.5,72.7,28.7,36.2,1.8,151.5,4.2,72.3,387.9,5.4,1.9,84.6,1.2,1.0,6.5,3.9,0.0,76.5,19.6,5.3,2.1,0.1,22.5,10.7,192.0,36.4,88.6,4.0,3.5,58.0,Ind,5.0,0.0,,28.7,31.8,,,,-6.5,-4.5,0.545,,6.0,0.0
Boston College,2000,20.6,9.4,1.3,10.0,0.3,27.9,15.5,55.7,1.1,1.8,213.9,7.2,53.6,31.5,41.9,2.0,201.0,4.8,69.8,414.9,5.9,1.4,19.6,7.1,1.5,11.1,0.9,26.3,12.5,47.8,1.5,1.2,168.2,6.2,55.1,23.6,43.7,1.4,212.5,4.9,70.0,380.7,5.4,2.4,85.7,1.3,1.1,7.0,3.4,0.0,62.7,18.6,5.7,2.2,0.1,19.7,9.0,227.5,39.7,95.3,3.9,3.7,25.0,Big East,5.0,4.0,,23.1,31.5,,,,1.72,6.3,0.583,0.429,7.0,3.0
Mississippi State,2000,18.2,7.2,0.9,10.1,1.4,25.6,14.2,55.3,0.8,0.8,192.5,10.3,86.9,31.5,41.9,2.5,193.8,4.6,67.5,386.4,5.7,2.2,19.3,10.9,2.5,5.8,1.3,38.7,18.7,48.4,1.7,1.6,242.0,7.0,54.7,24.1,33.8,1.5,97.5,2.9,72.5,339.5,4.7,3.0,66.7,1.6,1.1,6.6,3.7,0.0,80.3,21.5,5.8,3.4,0.0,33.5,9.9,236.5,40.6,94.9,3.5,3.4,103.0,SEC (West),4.0,4.0,,25.5,32.5,24.0,13.0,,3.37,10.37,0.667,0.5,8.0,4.0
Minnesota,2000,20.5,8.7,1.5,10.3,0.8,29.3,16.9,57.8,0.7,1.8,234.9,7.1,63.5,31.4,43.9,1.5,187.5,4.3,73.2,422.5,5.8,1.5,20.0,7.9,2.5,9.6,1.2,30.5,15.6,51.2,0.5,1.4,193.4,6.5,54.5,25.5,42.5,1.8,171.3,4.0,73.1,364.6,5.0,1.7,64.7,3.1,2.0,8.8,3.2,0.1,59.6,18.7,4.3,3.1,0.1,41.1,13.3,189.1,44.3,91.2,3.1,2.8,34.0,Big Ten,6.0,4.0,,26.5,31.3,,22.0,,0.1,3.02,0.5,0.5,6.0,4.0
Notre Dame,2000,17.4,5.1,1.0,11.3,0.4,18.2,9.7,53.5,0.4,1.5,132.2,6.4,56.8,31.3,48.9,2.2,213.5,4.4,67.1,345.7,5.2,0.7,18.6,8.6,1.4,8.6,0.8,28.2,14.2,50.3,1.2,1.4,206.2,6.2,47.3,20.5,39.9,1.3,147.6,3.7,68.1,353.8,5.2,2.0,57.1,1.3,0.7,6.2,3.3,0.1,81.5,24.9,5.8,2.9,0.2,44.0,15.1,237.8,40.9,97.8,4.1,4.0,55.0,Ind,3.0,0.0,,22.3,29.4,15.0,10.0,,5.12,12.45,0.75,,9.0,0.0
Ohio,2000,22.4,4.3,1.3,16.8,0.9,12.2,5.7,47.0,0.7,0.9,95.1,5.9,48.7,31.2,58.7,2.9,323.0,5.5,70.9,418.1,5.9,1.6,17.8,9.3,1.3,7.3,0.8,30.3,16.3,53.8,1.2,1.1,219.9,4.7,41.9,18.9,35.0,1.2,129.4,3.7,65.3,349.3,5.4,2.0,66.7,1.6,1.1,6.8,3.0,0.0,58.4,19.5,4.4,3.5,0.0,41.3,11.9,191.7,43.9,92.9,3.8,3.5,65.0,MAC (East),4.0,3.0,,18.9,31.2,,,,-8.24,-0.88,0.636,0.625,7.0,5.0
San Jose State,2000,19.5,9.6,1.5,8.4,0.7,31.4,15.8,50.1,1.1,1.3,228.3,8.3,65.3,31.2,35.8,2.4,189.1,5.3,67.2,417.3,6.2,1.8,25.0,11.3,1.8,11.8,1.0,34.0,17.5,51.5,1.3,1.8,253.0,7.2,56.2,29.2,46.5,2.0,217.6,4.7,80.5,470.6,5.8,2.3,45.5,0.9,0.4,4.3,4.2,0.0,83.9,20.1,5.0,2.1,0.1,16.3,7.8,189.8,38.0,84.1,3.7,3.1,110.0,WAC,5.0,3.0,,29.8,31.2,,,,-2.74,-0.82,0.583,0.625,7.0,5.0
