,first_down,first_down_pass,first_down_penalty,first_down_rush,fumbles_lost,g,pass_att,pass_cmp,pass_cmp_pct,pass_int,pass_td,pass_yds,penalty,penalty_yds,points,ranker,rush_att,rush_td,rush_yds,rush_yds_per_att,school_name,tot_plays,tot_yds,tot_yds_per_play,turnovers,year
31,24.9,15.9,3.0,6.0,1.0,13,47.8,28.6,59.9,1.1,2.2,346.2,6.1,52.8,30.6,32,34.9,1.2,74.5,2.1,Washington,82.7,420.7,5.1,2.1,2002
32,21.6,5.8,2.1,13.7,0.5,13,21.5,11.4,53.0,0.7,0.8,134.8,7.1,64.5,30.5,33,54.9,3.0,283.6,5.2,West Virginia,76.4,418.5,5.5,1.2,2002
33,20.5,10.9,1.8,7.8,0.5,13,31.8,18.7,58.7,1.3,1.4,231.6,6.2,54.5,30.2,34,37.8,1.9,159.1,4.2,Boston College,69.7,390.7,5.6,1.8,2002
34,18.0,7.0,1.0,10.0,1.2,12,24.7,14.3,57.8,1.1,1.0,166.9,7.9,67.4,30.1,35,49.1,1.9,203.2,4.1,Texas Christian,73.8,370.1,5.0,2.3,2002
35,19.9,9.1,1.8,9.1,0.4,12,31.7,17.0,53.7,0.6,1.4,203.2,6.8,53.1,30.0,36,41.2,2.3,183.7,4.5,Missouri,72.8,386.8,5.3,1.0,2002
36,20.2,8.4,1.1,10.8,1.1,14,25.1,13.1,52.4,0.9,1.1,182.9,3.7,34.5,29.9,37,44.4,2.3,205.7,4.6,Colorado State,69.5,388.6,5.6,1.9,2002
37,19.1,8.1,1.1,9.9,1.0,13,23.0,13.4,58.2,0.8,1.4,183.8,8.3,58.0,29.8,38,43.3,2.5,203.7,4.7,Auburn,66.3,387.5,5.8,1.8,2002
38,18.2,9.5,1.5,7.2,0.9,13,28.2,15.7,55.6,0.8,1.5,229.6,6.0,58.2,29.8,39,39.9,1.5,127.5,3.2,UCLA,68.2,357.2,5.2,1.8,2002
39,23.2,11.6,1.1,10.5,1.5,13,34.8,20.8,60.0,1.2,1.6,255.7,5.6,46.0,29.7,40,44.8,2.0,196.5,4.4,Purdue,79.5,452.2,5.7,2.6,2002
40,17.5,7.6,0.4,9.5,0.7,14,20.0,12.4,61.8,0.5,1.0,173.2,5.4,40.8,29.3,41,44.9,2.2,191.3,4.3,Ohio State,64.9,364.5,5.6,1.2,2002
41,20.2,11.1,1.3,7.8,0.8,14,34.6,18.9,54.4,1.6,1.6,260.6,7.3,62.8,29.2,42,38.9,1.5,136.9,3.5,Cincinnati,73.6,397.5,5.4,2.4,2002
42,19.9,10.9,1.6,7.4,0.7,14,32.4,17.9,55.1,1.3,1.1,236.3,5.1,40.8,28.9,43,39.6,2.1,145.0,3.7,Iowa State,72.0,381.3,5.3,2.0,2002
43,20.5,7.5,2.0,11.0,0.8,13,25.6,13.4,52.3,0.8,1.6,183.4,5.8,44.4,28.9,44,45.1,1.7,209.8,4.7,Minnesota,70.7,393.2,5.6,1.6,2002
44,19.5,11.0,2.0,6.5,1.2,13,37.2,22.3,60.0,1.3,1.8,263.4,7.5,70.9,28.9,45,31.5,1.4,112.2,3.6,San Jose State,68.7,375.6,5.5,2.5,2002
45,19.6,8.6,1.5,9.5,0.9,12,27.8,14.5,52.3,1.3,1.0,187.7,5.8,46.8,28.9,46,44.0,2.5,188.8,4.3,Syracuse,71.8,376.4,5.2,2.2,2002
